縣市/地區,房屋稅籍住宅類數量B,住宅平均屋齡Y,1（含）年以下B,1（含）年以下B比例,1~5（含）年B,1~5（含）年B比例,5~10（含）年B,5~10（含）年B比例,10~15（含）年B,10~15（含）年B比例,15~20（含）年B,15~20（含）年B比例,20~25（含）年B,20~25（含）年B比例,25~30（含）年B,25~30（含）年B比例,30~40（含）年B,30~40（含）年B比例,40~50（含）年B,40~50（含）年B比例,50年以上B,50年以上B比例
全國,7706291,23.41,144352,1.87%,491576,6.38%,638396,8.28%,1520522,19.73%,757269,9.83%,748232,9.71%,1380513,17.91%,1296015,16.82%,385220,5.00%,344196,4.47%
新北市(原台北縣),1395005,21.39,35388,2.54%,73696,5.28%,141057,10.11%,310074,22.23%,130418,9.35%,134051,9.61%,254780,18.26%,259587,18.61%,33357,2.39%,22597,1.62%
台北市,837023,26.56,16851,2.01%,32487,3.88%,42345,5.06%,64715,7.73%,54080,6.46%,140512,16.79%,174145,20.81%,239674,28.63%,52813,6.31%,19401,2.32%
台中市,440144,18.5,10004,2.27%,36070,8.20%,44014,10.00%,137132,31.16%,62429,14.18%,40023,9.09%,50622,11.50%,42526,9.66%,9739,2.21%,7585,1.72%
台南市,268743,22.65,4820,1.79%,20928,7.79%,23132,8.61%,49570,18.45%,32194,11.98%,27342,10.17%,54561,20.30%,34404,12.80%,12007,4.47%,9785,3.64%
高雄市,546191,22.09,7749,1.42%,51352,9.40%,45367,8.31%,100594,18.42%,50601,9.26%,65181,11.93%,98406,18.02%,88139,16.14%,28662,5.25%,10140,1.86%
宜蘭縣,164705,25.44,2505,1.52%,8354,5.07%,9068,5.51%,34683,21.06%,12996,7.89%,11706,7.11%,34079,20.69%,29486,17.90%,11376,6.91%,10452,6.35%
桃園市,678264,18.48,19964,2.94%,75011,11.06%,90196,13.30%,175343,25.85%,55361,8.16%,44857,6.61%,125674,18.53%,67582,9.96%,12040,1.78%,12236,1.80%
新竹縣,159233,21.57,5426,3.41%,22828,14.34%,13830,8.69%,31154,19.57%,17596,11.05%,10062,6.32%,21442,13.47%,17007,10.68%,5570,3.50%,14318,8.99%
苗栗縣,169687,26.89,3268,1.93%,8136,4.79%,14154,8.34%,27794,16.38%,13837,8.15%,17265,10.17%,29543,17.41%,25045,14.76%,11766,6.93%,18879,11.13%
彰化縣,361848,25.33,3686,1.02%,14811,4.09%,24239,6.70%,66215,18.30%,42829,11.84%,31465,8.70%,69581,19.23%,59380,16.41%,32141,8.88%,17501,4.84%
南投縣,154186,27.53,1665,1.08%,8379,5.43%,14969,9.71%,24275,15.74%,15821,10.26%,11741,7.61%,26392,17.12%,22503,14.59%,12297,7.98%,16144,10.47%
雲林縣,221093,29.44,2032,0.92%,8585,3.88%,14411,6.52%,35551,16.08%,17512,7.92%,16453,7.44%,38989,17.63%,36773,16.63%,22827,10.32%,27960,12.65%
嘉義縣,161695,28.14,1302,0.81%,7205,4.46%,9011,5.57%,22713,14.05%,12569,7.77%,12185,7.54%,31939,19.75%,34503,21.34%,11992,7.42%,18276,11.30%
屏東縣,266031,26.86,2193,0.82%,13437,5.05%,14891,5.60%,46654,17.54%,27726,10.42%,25984,9.77%,44269,16.64%,47413,17.82%,21976,8.26%,21488,8.08%
台東縣,81425,27.94,603,0.74%,3488,4.28%,4191,5.15%,13052,16.03%,5271,6.47%,6757,8.30%,13032,16.00%,20486,25.16%,9977,12.25%,4568,5.61%
花蓮縣,123411,25.19,1528,1.24%,5952,4.82%,9477,7.68%,21226,17.20%,9738,7.89%,14219,11.52%,21978,17.81%,21958,17.79%,11909,9.65%,5426,4.40%
澎湖縣,30496,34.1,305,1.00%,1656,5.43%,1933,6.34%,3301,10.82%,1900,6.23%,2566,8.41%,5104,16.74%,4912,16.11%,2378,7.80%,6441,21.12%
基隆市,153946,21.96,1605,1.04%,3240,2.10%,12536,8.14%,49835,32.37%,15172,9.86%,10099,6.56%,29214,18.98%,20760,13.49%,7687,4.99%,3798,2.47%
新竹市,142474,20.52,4811,3.38%,9808,6.88%,19074,13.39%,32352,22.71%,16429,11.53%,10154,7.13%,20739,14.56%,19206,13.48%,5057,3.55%,4844,3.40%
嘉義市,102770,24.02,1173,1.14%,8028,7.81%,5693,5.54%,21872,21.28%,14371,13.98%,8140,7.92%,10595,10.31%,19319,18.80%,6690,6.51%,6889,6.70%
金門縣,13654,24.53,239,1.75%,1008,7.38%,2370,17.36%,2357,17.26%,1011,7.40%,1393,10.20%,1676,12.27%,1666,12.20%,929,6.80%,1005,7.36%
連江縣,2204,32.14,30,1.36%,220,9.98%,111,5.04%,38,1.72%,74,3.36%,102,4.63%,193,8.76%,1227,55.67%,90,4.08%,119,5.40%
台中縣(99年以前),466436,22.82,7394,1.59%,32898,7.05%,36379,7.80%,94415,20.24%,59417,12.74%,36510,7.83%,92280,19.78%,63583,13.63%,18277,3.92%,25283,5.42%
台南縣(99年以前),356332,26.8,4921,1.38%,17179,4.82%,21979,6.17%,74390,20.88%,43733,12.27%,32870,9.22%,57083,16.02%,44171,12.40%,20578,5.77%,39428,11.06%
高雄縣(99年以前),409295,24.18,4890,1.19%,26820,6.55%,23969,5.86%,81217,19.84%,44184,10.80%,36595,8.94%,74197,18.13%,74705,18.25%,23085,5.64%,19633,4.80%
